GEO_ID,NAME,P001001
id,Geographic Area Name,Total
1600000US5539350,"Kewaunee city, Wisconsin",2952
1600000US5539525,"Kiel city, Wisconsin",3738
1600000US5539550,"Kieler CDP, Wisconsin",497
1600000US5539650,"Kimberly village, Wisconsin",6468
1600000US5540125,"Knowlton CDP, Wisconsin",120
1600000US5539700,"King CDP, Wisconsin",1750
1600000US5539750,"Kingston village, Wisconsin",326
1600000US5540275,"Kohler village, Wisconsin",2120
1600000US5540450,"Krakow CDP, Wisconsin",354
1600000US5540550,"Kronenwetter village, Wisconsin",7210
1600000US5540675,"Lac du Flambeau CDP, Wisconsin",1969
1600000US5540750,"Lac La Belle village, Wisconsin",290
1600000US5540775,"La Crosse city, Wisconsin",51320
1600000US5541525,"Lake Hallie village, Wisconsin",6448
1600000US5539975,"Knapp village, Wisconsin",463
1600000US5540850,"Ladysmith city, Wisconsin",3414
1600000US5540875,"La Farge village, Wisconsin",746
1600000US5541160,"Lake Arrowhead CDP, Wisconsin",838
1600000US5541210,"Lake Camelot CDP, Wisconsin",826
1600000US5541300,"Lake Delton village, Wisconsin",2914
1600000US5541450,"Lake Geneva city, Wisconsin",7651
1600000US5541560,"Lake Ivanhoe CDP, Wisconsin",435
1600000US5541583,"Lake Koshkonong CDP, Wisconsin",1204
1600000US5541645,"Lake Lorraine CDP, Wisconsin",324
1600000US5541675,"Lake Mills city, Wisconsin",5708
1600000US5541725,"Lake Nebagamon village, Wisconsin",1069
1600000US5541765,"Lake Ripley CDP, Wisconsin",1779
1600000US5541770,"Lake Shangrila CDP, Wisconsin",861
1600000US5541772,"Lake Sherwood CDP, Wisconsin",372
1600000US5541875,"Lake Tomahawk CDP, Wisconsin",228
1600000US5542012,"Lake Wisconsin CDP, Wisconsin",4189
1600000US5542025,"Lake Wissota CDP, Wisconsin",2738
1600000US5542050,"Lakewood CDP, Wisconsin",323
1600000US5542250,"Lancaster city, Wisconsin",3868
1600000US5542450,"Lannon village, Wisconsin",1107
1600000US5542475,"Laona CDP, Wisconsin",583
1600000US5542805,"Lauderdale Lakes CDP, Wisconsin",1172
1600000US5542825,"La Valle village, Wisconsin",367
1600000US5543025,"Lebanon CDP, Wisconsin",204
1600000US5541975,"Lake Wazeecha CDP, Wisconsin",2651
1600000US5543207,"Legend Lake CDP, Wisconsin",1525
1600000US5543325,"Lena village, Wisconsin",564
1600000US5606480,"Beulah CDP, Wyoming",73
1600000US5607060,"Big Piney town, Wyoming",552
1600000US5609235,"Boulder CDP, Wyoming",170
1600000US5608365,"Bondurant CDP, Wyoming",93
1600000US5606045,"Bedford CDP, Wyoming",201
1600000US5606407,"Bessemer Bend CDP, Wyoming",199
1600000US5606770,"Big Horn CDP, Wyoming",490
1600000US5605625,"Bear River town, Wyoming",518
1600000US5609307,"Boulder Flats CDP, Wyoming",408
1600000US5610175,"Brookhurst CDP, Wyoming",185
1600000US1275600,"Webster city, Florida",785
1600000US1275450,"Wausau town, Florida",383
1600000US1275475,"Waverly CDP, Florida",767
1600000US1275641,"Weeki Wachee Gardens CDP, Florida",1146
1600000US1275812,"Wellington village, Florida",56508
1600000US1274775,"Wahneta CDP, Florida",5091
1600000US1275875,"Wesley Chapel CDP, Florida",44092
1600000US1276290,"Westgate CDP, Florida",7975
1600000US1276050,"West Bradenton CDP, Florida",4192
1600000US1276075,"Westchester CDP, Florida",29862
1600000US1276087,"West DeLand CDP, Florida",3535
1600000US1276487,"West Little River CDP, Florida",34699
1600000US1276500,"West Melbourne city, Florida",18355
1600000US1276658,"West Park city, Florida",14156
1600000US1276062,"Westchase CDP, Florida",21747
1600000US1276481,"West Lealman CDP, Florida",15651
1600000US1276525,"West Miami city, Florida",5965
1600000US1276582,"Weston city, Florida",65333
1600000US1276600,"West Palm Beach city, Florida",99919
1600000US1276675,"West Pensacola CDP, Florida",21339
1600000US1276700,"West Perrine CDP, Florida",9460
1600000US1276740,"West Samoset CDP, Florida",5583
1600000US1276937,"West Vero Corridor CDP, Florida",7138
1600000US1276950,"Westview CDP, Florida",9650
1600000US1276975,"Westville town, Florida",289
1600000US1277275,"White City CDP, Florida",3719
1600000US1277075,"Westwood Lakes CDP, Florida",11838
1600000US1277100,"Wewahitchka city, Florida",1981
1600000US1277137,"Whiskey Creek CDP, Florida",4655
1600000US1277400,"White Springs town, Florida",777
1600000US1277467,"Whitfield CDP (Manatee County), Florida",2882
1600000US1277470,"Whitfield CDP (Santa Rosa County), Florida",295
1600000US1277675,"Wildwood city, Florida",6709
1600000US1277735,"Williamsburg CDP, Florida",7646
1600000US1277825,"Williston city, Florida",2768
1600000US1278025,"Wimauma CDP, Florida",6373
1600000US1277837,"Williston Highlands CDP, Florida",2275
1600000US1277862,"Willow Oak CDP, Florida",6732
1600000US1278000,"Wilton Manors city, Florida",11632
1600000US1278050,"Windermere town, Florida",2462
1600000US1278110,"Windsor CDP, Florida",256
1600000US1278225,"Winter Beach CDP, Florida",2067
1600000US1278250,"Winter Garden city, Florida",34568
1600000US1630160,"Genesee city, Idaho",955
1600000US1630340,"Georgetown city, Idaho",476
1600000US1634300,"Hagerman city, Idaho",872
1600000US1632140,"Gooding city, Idaho",3567
1600000US1631690,"Glenns Ferry city, Idaho",1319
1600000US1632500,"Grace city, Idaho",915
1600000US1632770,"Grand View city, Idaho",452
1600000US1632950,"Grangeville city, Idaho",3141
1600000US1633490,"Greenleaf city, Idaho",846
1600000US1634030,"Groveland CDP, Idaho",877
1600000US1634390,"Hailey city, Idaho",7960
1600000US1634570,"Hamer city, Idaho",48
1600000US1634930,"Hansen city, Idaho",1144
