,H002001,H002002,NAME,state,place
16026,561,0,"Orange Grove city, Texas",48,54168
16027,42,18,"Orason CDP, Texas",48,54186
16028,468,0,"Ore City city, Texas",48,54216
16029,1086,0,"Overton city, Texas",48,54432
16030,1300,1177,"Ovilla city, Texas",48,54444
16031,84,0,"Owl Ranch CDP, Texas",48,54509
16032,556,368,"Oyster Creek city, Texas",48,54528
16033,1393,1204,"Ozona CDP, Texas",48,54552
16034,36,36,"Paisano Park CDP, Texas",48,54666
16035,21,21,"Pablo Pena CDP, Texas",48,54558
16036,756,0,"Paducah town, Texas",48,54600
16037,128,0,"Paint Rock town, Texas",48,54636
16038,1987,1925,"Palacios city, Texas",48,54684
16039,1826,1826,"Sunset city, Utah",49,74480
16040,53,0,"Sutherland CDP, Utah",49,74590
16041,6534,6506,"Syracuse city, Utah",49,74810
16042,79,0,"Tabiona town, Utah",49,74920
16043,20671,20671,"Taylorsville city, Utah",49,75360
16044,833,0,"Timber Lakes CDP, Utah",49,76280
16045,123,0,"Teasdale CDP, Utah",49,75470
16046,230,0,"Thatcher CDP, Utah",49,75800
16047,43,0,"Thompson Springs CDP, Utah",49,76180
16048,10646,10460,"Tooele city, Utah",49,76680
16049,501,76,"Toquerville town, Utah",49,76900
16050,147,0,"Torrey town, Utah",49,77010
16051,2581,2520,"Tremonton city, Utah",49,77120
16052,157,0,"Trenton town, Utah",49,77230
16053,221,0,"Tropic town, Utah",49,77560
16054,43,0,"Tselakai Dezza CDP, Utah",49,77697
16055,1505,1505,"Stansbury Park CDP, Utah",49,72720
16056,89,0,"Vernon town, Utah",49,80200
16057,233,0,"Kandiyohi city, Minnesota",27,32372
16058,399,0,"Karlstad city, Minnesota",27,32444
16059,305,252,"Kasota city, Minnesota",27,32462
16060,208,0,"Kellogg city, Minnesota",27,32642
16061,2340,2300,"Kasson city, Minnesota",27,32498
16062,546,0,"Keewatin city, Minnesota",27,32570
16063,194,0,"Kelliher city, Minnesota",27,32606
16064,39,0,"Kent city, Minnesota",27,32786
16065,114,0,"Kennedy city, Minnesota",27,32732
16066,31,0,"Kenneth city, Minnesota",27,32750
16067,147,0,"Kensington city, Minnesota",27,32768
16068,841,0,"Kenyon city, Minnesota",27,32840
16069,352,0,"Kerkhoven city, Minnesota",27,32876
16070,63,0,"Kilkenny city, Minnesota",27,33110
16071,32,0,"Kerrick city, Minnesota",27,32912
16072,96,0,"Kettle River city, Minnesota",27,32966
16073,281,0,"Kiester city, Minnesota",27,33056
16074,336,0,"Kimball city, Minnesota",27,33164
16075,11,0,"Kinbrae city, Minnesota",27,33236
16076,70,0,"Kingston city, Minnesota",27,33344
16077,83,0,"Kinney city, Minnesota",27,33416
16078,723,0,"Bismarck city, Missouri",29,05878
16079,124,0,"Blackburn city, Missouri",29,05950
16080,15,0,"Blanchard CDP, Missouri",29,06247
16081,2809,2809,"Black Jack city, Missouri",29,06004
16082,87,0,"Blackwater city, Missouri",29,06148
16083,60,0,"Blairstown city, Missouri",29,06238
16084,292,0,"Bland city, Missouri",29,06256
16085,92,0,"Blodgett village, Missouri",29,06346
16086,893,0,"Bloomfield city, Missouri",29,06382
16087,216,0,"Bloomsdale city, Missouri",29,06454
16088,205,0,"Blue Eye town, Missouri",29,06526
16089,20643,20570,"Blue Springs city, Missouri",29,06652
16090,23,0,"Biehle CDP, Missouri",29,05320
16091,105,0,"Blythedale village, Missouri",29,06742
16092,4432,4167,"Bolivar city, Missouri",29,06976
16093,1882,1799,"Bonne Terre city, Missouri",29,07102
16094,94,0,"Bogard city, Missouri",29,06832
16095,96,0,"Bolckow city, Missouri",29,06922
16096,3294,3148,"Boonville city, Missouri",29,07318
16097,158,0,"Bosworth city, Missouri",29,07426
16098,718,702,"Bourbon city, Missouri",29,07534
16099,1474,1474,"Bowling Green city, Missouri",29,07660
16100,61,0,"Bragg City town, Missouri",29,07876
16101,429,0,"Braymer city, Missouri",29,08038
16102,8599,8109,"Branson city, Missouri",29,07966
16103,215,0,"Branson West city, Missouri",29,07989
16104,133,0,"Brashear city, Missouri",29,08002
16105,205,0,"Breckenridge city, Missouri",29,08128
16106,2128,2128,"Breckenridge Hills city, Missouri",29,08164
16107,4410,4410,"Brentwood city, Missouri",29,08236
16108,148,0,"Brewer CDP, Missouri",29,08272
16109,5088,5084,"Bridgeton city, Missouri",29,08398
16110,144,0,"Browning city, Missouri",29,08884
16111,34,0,"Brimson village, Missouri",29,08470
16112,2280,2153,"Brookfield city, Missouri",29,08650
16113,52,46,"Brooklyn Heights town, Missouri",29,08776
16114,50,0,"Brownington town, Missouri",29,08902
16115,48,0,"Brumley town, Missouri",29,08974
16116,491,0,"Brunswick city, Missouri",29,09046
16117,271,0,"Bucklin city, Missouri",29,09388
16118,1243,1215,"Buckner city, Missouri",29,09424
16119,196,0,"Bunker city, Missouri",29,09694
16120,1518,1462,"Buffalo city, Missouri",29,09514
16121,235,233,"Bull Creek village, Missouri",29,09642
16122,182,0,"Bunceton city, Missouri",29,09658
16123,34,0,"Burgess town, Missouri",29,09802
16124,2047,1876,"Butler city, Missouri",29,10054
16125,74,0,"Russian Mission city, Alaska",02,65700
16126,61,0,"St. George city, Alaska",02,65800
16127,209,0,"St. Mary's city, Alaska",02,66140
16128,117,0,"St. Michael city, Alaska",02,66360
16129,190,0,"St. Paul city, Alaska",02,66470
16130,300,24,"Salamatof CDP, Alaska",02,66510
16131,128,127,"Saxman city, Alaska",02,67570
16132,585,0,"Salcha CDP, Alaska",02,66550
16133,290,0,"Sand Point city, Alaska",02,67020
16134,185,0,"Savoonga city, Alaska",02,67460
16135,105,0,"Scammon Bay city, Alaska",02,67680
16136,201,0,"Selawik city, Alaska",02,68230
16137,218,0,"Seldovia city, Alaska",02,68340
16138,196,0,"Seldovia Village CDP, Alaska",02,68370
16139,1124,0,"Seward city, Alaska",02,68560
16140,53,0,"Shageluk city, Alaska",02,68670
16141,66,0,"Silver Springs CDP, Alaska",02,70320
16142,70,0,"Shaktoolik city, Alaska",02,68890
16143,151,0,"Shishmaref city, Alaska",02,69770
16144,73,0,"Shungnak city, Alaska",02,70100
16145,4102,3214,"Sitka city and borough, Alaska",02,70540
16146,590,0,"Skagway CDP, Alaska",02,70760
16147,353,0,"Skwentna CDP, Alaska",02,70870
16148,205,0,"Slana CDP, Alaska",02,70930
16149,49,0,"Sleetmute CDP, Alaska",02,71090
16150,1968,1750,"Soldotna city, Alaska",02,71640
16151,2743,496,"Steele Creek CDP, Alaska",02,72985
16152,130,0,"South Naknek CDP, Alaska",02,72190
16153,253,230,"South Van Horn CDP, Alaska",02,72230
16154,153,0,"Stebbins city, Alaska",02,72960
16155,3347,0,"Sterling CDP, Alaska",02,73070
16156,52,0,"Stevens Village CDP, Alaska",02,73290
16157,26,0,"Stony River CDP, Alaska",02,73400
16158,27,0,"Sunrise CDP, Alaska",02,73950
16159,133,0,"Susitna CDP, Alaska",02,74340
16160,1403,0,"Susitna North CDP, Alaska",02,74350
16161,238,0,"Middleville village, New York",36,47108
16162,798,0,"Millbrook village, New York",36,47273
16163,4141,4141,"Miller Place CDP, New York",36,47306
16164,461,0,"Millerton village, New York",36,47361
16165,440,209,"Mill Neck village, New York",36,47405
16166,140,0,"Millport village, New York",36,47427
16167,1292,1258,"Milton CDP (Saratoga County), New York",36,47548
16168,558,0,"Mineville CDP, New York",36,47702
16169,593,411,"Milton CDP (Ulster County), New York",36,47554
16170,7701,7701,"Mineola village, New York",36,47636
16171,483,369,"Minetto CDP, New York",36,47680
16172,1454,1454,"Minoa village, New York",36,47757
16173,1276,1276,"Mohawk village, New York",36,47823
16174,2846,2846,"Monroe village, New York",36,47988
16175,3836,3836,"Monsey CDP, New York",36,48010
16176,4666,3490,"Montauk CDP, New York",36,48054
16177,817,679,"Montour Falls village, New York",36,48197
16178,1557,1557,"Montebello village, New York",36,48090
16179,1503,1502,"Montgomery village, New York",36,48142
16180,3270,3262,"Monticello village, New York",36,48175
16181,1120,1120,"Montrose CDP, New York",36,48208
16182,223,0,"Mooers CDP, New York",36,48241
16183,595,0,"Moravia village, New York",36,48296
16184,1475,1475,"Moriches CDP, New York",36,48450
16185,292,0,"Morris village, New York",36,48483
16186,692,585,"Morrisonville CDP, New York",36,48538
16187,249,0,"Morristown village, New York",36,48571
16188,4289,4289,"Mount Kisco village, New York",36,48890
16189,466,0,"Morrisville village, New York",36,48593
16190,863,821,"Mountain Lodge Park CDP, New York",36,48750
16191,2999,2999,"Mount Ivy CDP, New York",36,48879
16192,1463,1463,"Mount Morris village, New York",36,48945
16193,4285,4285,"Mount Sinai CDP, New York",36,49066
16194,28990,28990,"Mount Vernon city, New York",36,49121
16195,195,0,"Munnsville village, New York",36,49220
16196,840,840,"Munsey Park village, New York",36,49231
16197,1196,971,"Munsons Corners CDP, New York",36,49242
16198,532,418,"Napanoch CDP, New York",36,49418
16199,1125,1111,"Muttontown village, New York",36,49330
16200,2369,2369,"Myers Corner CDP, New York",36,49363
16201,6824,6824,"Nanuet CDP, New York",36,49407
16202,1440,1325,"La Grange town, North Carolina",37,36400
16203,1245,1245,"Lake Park village, North Carolina",37,36512
16204,1979,1673,"Lake Junaluska CDP, North Carolina",37,36480
16205,2211,0,"Lake Lure town, North Carolina",37,36500
16206,4045,1647,"Lake Norman of Catawba CDP, North Carolina",37,36511
16207,2094,0,"Lake Royale CDP, North Carolina",37,36513
16208,195,0,"Lake Santeetlah town, North Carolina",37,36514
16209,968,0,"Lake Waccamaw town, North Carolina",37,36640
16210,1426,1403,"Landis town, North Carolina",37,36860
16211,90,0,"Lansing town, North Carolina",37,36960
16212,66,0,"Lasker town, North Carolina",37,37000
16213,7048,6991,"Laurinburg city, North Carolina",37,37220
16214,1438,1438,"Laurel Park town, North Carolina",37,37160
16215,154,0,"Lattimore town, North Carolina",37,37040
16216,584,499,"Laurel Hill CDP, North Carolina",37,37120
16217,289,0,"Lawndale town, North Carolina",37,37260
16218,29,0,"Leggett town, North Carolina",37,37640
16219,6583,6425,"Leland town, North Carolina",37,37680
16220,8568,8407,"Lenoir city, North Carolina",37,37760
16221,262,0,"Lewiston Woodville town, North Carolina",37,38030
16222,5264,5150,"Lewisville town, North Carolina",37,38040
16223,232,0,"Lilesville town, North Carolina",37,38200
16224,8938,8693,"Lexington city, North Carolina",37,38060
16225,8814,8811,"Longboat Key town, Florida",12,41150
16226,5680,5680,"Longwood city, Florida",12,41250
16227,7822,7519,"Lutz CDP, Florida",12,41775
16228,2019,1720,"Loughman CDP, Florida",12,41400
16229,6325,6134,"Lower Grand Lagoon CDP, Florida",12,41562
16230,1222,209,"Loxahatchee Groves town, Florida",12,41577
16231,8266,8251,"Lynn Haven city, Florida",12,41825
16232,2335,2288,"Macclenny city, Florida",12,41950
16233,4717,4717,"McGregor CDP, Florida",12,42090
16234,285,0,"McIntosh town, Florida",12,42150
16235,4044,4044,"Madeira Beach city, Florida",12,42400
